,Компания,Общая тема,Подтема,Заголовок,Новость
10,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ днем остается под давлением продаж, лидируют в откате Газпром и Русал","…Доллар просел до 91,6 рубля (- 0,45 рубля).Подешевели акции ""Газпрома"" (-1,8%), ОК ""Русал"" (-1,4%), ""Аэрофлота"" (MOEX: AFLT) (-1,1%), ПАО ""Полюс"" (MOEX: PLZL) (-0,8%), расписки OZON (MOEX: OZON) (-0,8%), бумаги ""МТС"" (MOEX: MTSS) (-0,7%), ""АЛРОСА"" (MOEX: ALRS) (-0,6%), ""Газпром нефти"" (MOEX: SIBN) (-0,6%), ""ТКС Холдинг"" ( SPB: TCSG) (MOEX: TCSG) (-0,4%), Сбербанка (MOEX: SBER) (-0,3% и -0,4% ""префы""), ""Интер РАО"" (MOEX: IRAO) (-0,2%), ""ЛУКОЙЛа"" (MOEX: LKOH) (-0,1%), ""Роснефти"" (MOEX: ROSN) (-0,1%).Подорожали акции ""Северстали"" (MOEX: CHMF) (+1,5%), ""НЛМК"" (MOEX: NLMK) (+1,4%), АФК ""Система"" (MOEX: AFKS) (+1,2%), Polymetal (MOEX: POLY) (+1,2%), ""Магнита"" (MOEX: MGNT) (+0,6%), ""ММК"" (MOEX: MAGN) (+0,5%), ""Сургутнефтегаза"" (MOEX: SNGS) (+0,4% и +0,5% ""префы""), ""НОВАТЭКа"" (MOEX: NVTK) (+0,4%), ""РусГидро"" (MOEX: HYDR) (+0,3%), ""Норникеля"" (MOEX: GMKN) (+0,2%), ""Яндекса"" (MOEX: YNDX) (+0,2%), ""Татнефти"" (MOEX: TATN) (+0,1%).…"
11,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ к вечеру сохраняет смешанную динамику фишек"", выросли ""Полюс"" и ""Сургутнефтегаз""","…Доллар стоит 91,37 рубля (- 0,23 рубля).Подешевели акции ""Московской биржи"" (MOEX: MOEX) (-2,2%), ""АЛРОСА"" (MOEX: ALRS) (-1,5%), ""ММК"" (MOEX: MAGN) (-1,1%), ""НОВАТЭКа"" (MOEX: NVTK) (-1,1%), ""ЛУКОЙЛа"" (-1%), ""Северстали"" (MOEX: CHMF) (-1%), ""Татнефти"" (MOEX: TATN) (-0,7%), ВТБ (MOEX: VTBR) (-0,7%), ""НЛМК"" (MOEX: NLMK) (-0,6%), ""Роснефти"" (MOEX: ROSN) (-0,6%), ""Газпром нефти"" (MOEX: SIBN) (-0,6%), ""МТС"" (MOEX: MTSS) (-0,5%), Сбербанка (MOEX: SBER) (-0,4% и -0,6% ""префы""), АФК ""Система"" (MOEX: AFKS) (-0,4%), ""Газпрома"" (MOEX: GAZP) (-0,2%), ""Магнита"" (MOEX: MGNT) (-0,2%), ""РусГидро"" (MOEX: HYDR) (-0,2%).…"
12,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ утром просел на отсечке ""ЛУКОЙЛа"", выросла ""Транснефть"" на дивидендных новостях","…Подешевели акции ""ЛУКОЙЛа"" (-3,1%, до 7721 рубля; дивиденды за 2023 год - 498 рублей на бумагу), на старте торгов бумаги падали на 5%.Также снизились акции ""Норникеля"" (MOEX: GMKN) (-1%), ПАО ""Полюс"" (MOEX: PLZL) (-0,9%), ""Аэрофлота"" (MOEX: AFLT) (-0,7%), АФК ""Система"" (MOEX: AFKS) (-0,4%), ""НОВАТЭКа"" (MOEX: NVTK) (-0,4%), ""МТС"" (MOEX: MTSS) (-0,3%), ""Татнефти"" (MOEX: TATN) (-0,2%), ОК ""Русал"" (MOEX: RUAL) (-0,2%), ""Роснефти"" (MOEX: ROSN) (-0,1%), ""Северстали"" (MOEX: CHMF) (-0,1%), ""ММК"" (MOEX: MAGN) (-0,1%).Подорожали ""префы"" ""Транснефти"" (+2,4%, до 1636 рублей).…"
13,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ к вечеру сохраняет боковик после просадки на отсечке ЛУКОЙЛа, выросла Транснефть","…Подешевели акции ""ЛУКОЙЛа"" (-3,1%, до 7725,5 рубля; дивиденды за 2023 год - 498 рублей на бумагу), на старте торгов бумаги падали на 5%.Также снизились акции ""ММК"" (MOEX: MAGN) (-1,2%), Polymetal (MOEX: POLY) (-1%), ""Норникеля"" (MOEX: GMKN) (-0,9%), ""Ростелекома"" (MOEX: RTKM) (-0,7%), ""Мечела"" (MOEX: MTLR) (-0,6%), ""Аэрофлота"" (MOEX: AFLT) (-0,6%), АФК ""Система"" (MOEX: AFKS) (-0,6%), ПАО ""Полюс"" (MOEX: PLZL) (-0,6%), ""Интер РАО"" (MOEX: IRAO) (-0,4%), ""АЛРОСА"" (MOEX: ALRS) (-0,2%), ""Роснефти"" (MOEX: ROSN) (-0,2%), ""Татнефти"" (MOEX: TATN) (-0,2%), ""МТС"" (MOEX: MTSS) (-0,2%), ""Северстали"" (MOEX: CHMF) (-0,1%), ""префы"" ""Сургутнефтегаза"" (MOEX: SNGS) (-0,2%).…"
14,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ открылся ростом индекса РТС на 0,5% и снижением МосБиржи на 0,04%","…Бумаги ""Группы Астра"" просели на 1,7%. Также подешевели акции ""Аэрофлота"" (-1%), ""Норникеля"" (-0,7%), ""Роснефти"" (-0,3%), ""НОВАТЭКа"" (-0,3%), ""ЛУКОЙЛа"" (-0,2%), ""Северстали"" (-0,1%), ""Газпром нефти"" (-0,1%), ""МТС"" (-0,1%), ""ММК"" (-0,1%), расписки OZON (-0,1%). Подорожали акции ""АЛРОСА"" (+1,1%), ""НЛМК"" (+0,7%), ""Интер РАО"" (+0,7%), ""Магнита"" (+0,5%), ""Московской биржи"" (+0,4%), ""Яндекса"" (+0,4%), ""Сургутнефтегаза"" (+0,2% и +0,1% ""префы""), ВТБ (+0,2%), ПАО ""Полюс"" (+0,2%), ""ТКС Холдинг"" (+0,2%), АФК ""Система"" (+0,1%), ""РусГидро"" (+0,1%), ОК ""Русал"" (+0,1%), Polymetal (+0,1%). …"
15,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,Рынок акций РФ начал неделю с умеренного снижения по индексу МосБиржи,"…Доллар к 18:50 просел до 91,23 рубля (- 0,37 рубля). Подешевели акции ""Московской биржи"" (-2,6%), ""ЛУКОЙЛа"" (-1,6%), ""ММК"" (-1,1%), ""АЛРОСА"" (-1%), ""Газпрома"" (-1%), ""НОВАТЭКа"" (-1%), ""Газпром нефти"" (-0,6%), ""Роснефти"" (-0,5%), ВТБ (-0,4%), Сбербанка (-0,3% и -0,5% ""префы""), ""Аэрофлота"" (-0,2%), ""НЛМК"" (-0,2%), АФК ""Система"" (-0,2%), ""Магнита"" (-0,2%), ""РусГидро"" (-0,2%), ""МТС"" (-0,1%), ОК ""Русал"" (-0,1%), ""Татнефти"" (-0,1%). Чистая прибыль ""Татнефти"" по РСБУ в I квартале 2024 года составила 68,386 млрд рублей, что на 36,4% выше показателя аналогичного периода предыдущего года ( 50,122 млрд рублей), говорится в отчете компании. …"
16,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,Российские индексы торговались разнонаправленно,"…Finam.Ru На этом фоне с самого утра теряли в стоимости акции ""Новатэка"", ""Роснефти"" и ""Сургутнефтегаза"".ТАСС …"
17,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,Каким будет курс рубля 3 мая,"…Так, ожидается, что основной его целью будет энергетический сектор, в частности, проекты, связанные с добычей природного газа и нефтью. На этом фоне с самого утра теряли в стоимости акции НОВАТЭКа, ""Роснефти"" и ""Сургутнефтегаза"". Каждая из компаний потеряла от −0,3% до −0,8% еще до обеда.…"
18,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ утром подрос на бумагах металлургов и ""Газпрома"", индекс МосБиржи превысил 3475п","…Подорожали акции ""АЛРОСА"" (MOEX: ALRS) (+2,4%), ""НЛМК"" (MOEX: NLMK) (+1,2%), ""Газпрома"" (+0,9%), ""Норникеля"" (MOEX: GMKN) (+0,9%), ""Яндекса"" (MOEX: YNDX) (+0,6%), ""Московской биржи"" (MOEX: MOEX) (+0,5%), ""МТС"" (MOEX: MTSS) (+0,4%), ""Интер РАО"" (MOEX: IRAO) (+0,4%), ""Татнефти"" (MOEX: TATN) (+0,3%), Polymetal (MOEX: POLY) (+0,3%), ""ЛУКОЙЛа"" (MOEX: LKOH) (+0,2%), ""Газпром нефти"" (MOEX: SIBN) (+0,2%), ВТБ (MOEX: VTBR) (+0,2%), ""ТКС Холдинг"" ( SPB: TCSG) (+0,2%). Подешевели акции ""Аэрофлота"" (-0,7%), ""Сургутнефтегаза"" (MOEX: SNGS) (-0,5% и -0,3% ""префы""), ""НОВАТЭКа"" (MOEX: NVTK) (-0,5%), ОК ""Русал"" (MOEX: RUAL) (-0,5%), ПАО ""Полюс"" (MOEX: PLZL) (-0,4%), ""Роснефти"" (MOEX: ROSN) (-0,3%), ""Магнита"" (MOEX: MGNT) (-0,3%), ""РусГидро"" (MOEX: HYDR) (-0,3%), расписки OZON (MOEX: OZON) (-0,3%), бумаги ""ММК"" (MOEX: MAGN) (-0,2%), АФК ""Система"" (MOEX: AFKS) (-0,1%). По оценке главного аналитика Промсвязьбанка (MOEX: PSKB) Алексея Головинова, индекс МосБиржи будет двигаться в ближайшие дни в диапазоне 3450-3485 пунктов. …"
19,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,Рынок акций РФ движется разнонаправленно в начале торгов,"…Ценные бумаги ""Группы Астра"" потеряли в цене 1,7%. Также снизились котировки акций ""Аэрофлота"" (-1%), ""Норильского никеля"" (-0,7%), ""Роснефти"" (-0,3%), ""НОВАТЭКа"" (-0,3%), ""ЛУКОЙЛа"" (-0,2%), ""Северстали"" (-0,1%), ""Газпром нефти"" (-0,1%), ""МТС"" (-0,1%), ""ММК"" (-0,1%), расписки OZON (-0,1%). Выросли в цене акции ""АЛРОСА"" (+1,1%), ""НЛМК"" (+0,7%), ""Интер РАО"" (+0,7%), ""Магнита"" (+0,5%), ""Московской биржи"" (+0,4%), ""Яндекса"" (+0,4%), ""Сургутнефтегаза"" (+0,2% и +0,1% ""префы""), ВТБ (+0,2%), ПАО ""Полюс"" (+0,2%), ""ТКС Холдинг"" (+0,2%), АФК ""Система"" (+0,1%), ""РусГидро"" (+0,1%), ОК ""Русал"" (+0,1%), Polymetal (+0,1%). …"
20,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение курса акций,"Рынок акций РФ открылся ростом индекса РТС на 0,5% и снижением МосБиржи на 0,04%","…Бумаги ""Группы Астра"" просели на 1,7%. Также подешевели акции ""Аэрофлота"" (-1%), ""Норникеля"" (-0,7%), ""Роснефти"" (-0,3%), ""НОВАТЭКа"" (-0,3%), ""ЛУКОЙЛа"" (-0,2%), ""Северстали"" (-0,1%), ""Газпром нефти"" (-0,1%), ""МТС"" (-0,1%), ""ММК"" (-0,1%), расписки OZON (-0,1%). Подорожали акции ""АЛРОСА"" (+1,1%), ""НЛМК"" (+0,7%), ""Интер РАО"" (+0,7%), ""Магнита"" (+0,5%), ""Московской биржи"" (+0,4%), ""Яндекса"" (+0,4%), ""Сургутнефтегаза"" (+0,2% и +0,1% ""префы""), ВТБ (+0,2%), ПАО ""Полюс"" (+0,2%), ""ТКС Холдинг"" (+0,2%), АФК ""Система"" (+0,1%), ""РусГидро"" (+0,1%), ОК ""Русал"" (+0,1%), Polymetal (+0,1%). …"
21,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Падение производства,"Пост OLEG _ PROFIT в Профите, про ROSN, ROSN, TATN, SIBN, LKOH, SNGS, 06 мая, 13:35 мск","…Это важно - как мама решит - так и будет, рынок помнит фразу ""это наши деньги"". Одна из самых дешевых нефтяных компаний на рынке с огромный скрытым потенциалом, но ПОКА РОСНЕФТЬ ВЫВОДИТ ДЕНЬГИ В ОБХОД ДИВОВ, ТУТ НЕЧЕГО ДЕЛАТЬ. ––––––––––––––––––––––––––– В следующих частях разберем $ $ $ и $ И потом подведем итог: какие компании когда стоит брать. Ждите!) ❤️ …"
22,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Утечка нефти,Экологи оценили масштаб ущерба от разливов нефти в ЯНАО,"…Общая сумма ущерба от нефтеразливов, допущенных ООО ""РН-Пурнефтегаз"" на землях Ямала с 2022 года, составляет 82,4 млн рублей. Разливы нефти на месторождениях, осваиваемых дочерним предприятием ПАО ""НК Роснефть"", продолжаются и сейчас. Об этом корреспонденту URA.RU сообщили в окружном департаменте природных ресурсов и экологии. …"
23,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Утечка нефти,Экологи оценили масштаб ущерба от разливов нефти в ЯНАО,"…Общая сумма ущерба от нефтеразливов, допущенных ООО ""РН-Пурнефтегаз"" на землях Ямала с 2022 года, составляет 82,4 млн рублей. Разливы нефти на месторождениях, осваиваемых дочерним предприятием ПАО ""НК Роснефть"", продолжаются и сейчас. В 2022 году утечки нефти проверяющие органы фиксировали в течение 11 месяцев, в 2023 году – с апреля по декабрь. …"
24,"ПАО ""НК ""РОСНЕФТЬ""",Другие происшествия,Утечка нефти,Экологи оценили масштаб ущерба от разливов нефти в ЯНАО,"…Общая сумма ущерба от нефтеразливов, допущенных ООО ""РН-Пурнефтегаз"" на землях Ямала с 2022 года, составляет 82,4 млн рублей. Разливы нефти на месторождениях, осваиваемых дочерним предприятием ПАО ""НК Роснефть"", продолжаются и сейчас. Об этом корреспонденту URA.RU сообщили в окружном департаменте природных ресурсов и экологии. …"
25,"ПАО ""НК ""РОСНЕФТЬ""",Деловая тематика,Добыча газа,За добычу мечт,"…Сейчас ""Газпром"" сосредоточен на увеличении поставок газа в Китай по ""Силе Сибири"", компания также старается выйти на подписание контракта по газопроводу ""Сила Сибири-2"". ""Роснефть"" заметно снизила темпы прироста добычи газа, которая выросла в первом квартале на 1,5%, до 20 млрд кубометров. В марте добыча компании осталась практически на уровне прошлого года – 6,8 млрд кубометров. …"
26,"ПАО ""НК ""РОСНЕФТЬ""",Деловая тематика,Добыча газа,В России стали добывать больше газа,"…Также ""Газпром"" стремится заключить соглашение на поставки по газопроводу ""Сила Сибири-2"".В первом квартале 2024-го ""Роснефть"" увеличила добычу газа на 1,5 процента, до 20 миллиардов кубометров. Годом ранее компания демонстрировала взрывной рост добычи из-за запуска проектов ""Роспан"" и ""Харампурнефтегаз"" – к концу 2023-го показатель вырос на 23,7 процента, до 66 миллиардов кубометров. …"
27,"ПАО ""НК ""РОСНЕФТЬ""",Деловая тематика,Добыча газа,"В России увеличилась добыча газа, пишут СМИ","…Крупные независимые производители, такие как Роснефть и НОВАТЭК, сохранили добычу на примерно том же уровне, что и в прошлом году. Роснефть увеличила добычу газа на 1,5 процента, а НОВАТЭК сократил ее на 2,6 процента, заключили в издании. …"
28,"ПАО ""НК ""РОСНЕФТЬ""",Деловая тематика,Добыча газа,"Директор ИЭФ Алексей Громов: ""Вопрос создания внутреннего рынка газа перезрел""","…– Нет, это не так. У нас есть и Роснефть, и Новатэк, и целая группа компаний, которая производит газ, но сдает его Газпрому по регулируемым ценам, как, например, Лукойл, потому что его невыгодно продавать на внутреннем рынке. А если посмотреть на общую структуру производства газа внутри страны, то из общего объема газового производства более 100 млрд, 150 уже млрд кубометров производится компаниями, не входящими в группу Газпром. …"
29,"ПАО ""НК ""РОСНЕФТЬ""",Деловая тематика,Добыча газа,Технологии двигают нефтегазовую отрасль и экономят,"…Ведь все чаще нефтяникам приходится разрабатывать трудноизвлекаемые запасы сырья. Например, ""Восточно-Сибирская нефтегазовая компания"" (""Востсибнефтегаз"") – входит в нефтегазодобывающий комплекс ""Роснефти"" – в прошлом году внедрила 15 проектов по повышению производственной эффективности. Все подобные технологические решения производства в 2023 году вместе сэкономили более 800 млн. …"
30,"ПАО ""НК ""РОСНЕФТЬ""",Деловая тематика,Добыча газа,"В ""Газпроме"" сообщили об убытках на сотни миллиардов рублей в 2023 году","…Также ""Газпром"" стремится заключить соглашение на поставки по газопроводу ""Сила Сибири-2"".В первом квартале 2024-го ""Роснефть"" увеличила добычу газа на 1,5 процента, до 20 миллиардов кубометров. Годом ранее компания демонстрировала взрывной рост добычи из-за запуска проектов ""Роспан"" и ""Харампурнефтегаз"" – к концу 2023-го показатель вырос на 23,7 процента, до 66 миллиардов кубометров. …"
31,"ПАО ""НК ""РОСНЕФТЬ""",Деловая тематика,Добыча газа,"Увеличение экспортных объемов помогло ""Газпрому"" нарастить добычу газа в I квартале","…Средняя добыча независимых газодобытчиков в среднем оказалась на прошлогодних уровнях. Например, ""Роснефть"" увеличила на 1,5% (до 20 млрд кубометров), в то время как НОВАТЭК снизил на 2,6% (до 20,8 млрд кубометров). Остальные компании показали разнонаправленную динамику добычи газа. …"
32,"ПАО ""НК ""РОСНЕФТЬ""",Деловая тематика,Добыча газа,"За счет Газпрома. Добыча газа в России в 1 квартале 2024 г. выросла на 9,4%","…Газпром с начала 2024 г. последовательно восстанавливает добычу на фоне увеличения экспорта газа в европейском направлении и планового роста поставок газа в Китай по магистральному газопроводу ( МГП) Сила Сибири-1. У Роснефти темпы наращивания добычи газа замедляются после взрывного роста в 2023 г. в связи с запуском проектов Роспан и Харампурнефтегаз, которые сейчас уже вышли на полку добычи. У НОВАТЭКа динамика добычи газа ограничивается ситуацией вокруг проекта Арктик СПГ-2, отгрузки СПГ с которого пока не начались из-за санкций США и отсутствия ледокольного флота. …"
33,"ПАО ""НК ""РОСНЕФТЬ""",Деловая тематика,Добыча газа,"""Ъ"": в первом квартале 2024 года добыча газа в России выросла на 9,4 %","…Компания ""Роснефть"" увеличила добычу газа на 1,5% и достигла 20 млрд.Многие компании по итогам трех месяцев сохранил добычу на прежнем уровне. Например, Лукойл добывает стабильно 4,6 млрд кубометров.…"
34,"ПАО ""НК ""РОСНЕФТЬ""",Деловая тематика,Добыча газа,Рост экспорта газа положительно повлиял на объемы его добычи в России,"…Мартовская добыча оставалась на прошлогоднем уровне. Статистика ""Роснефти"" отразила достижение пика добычи на новых проектах. Показатели НОВАТЭКа сократились на 2,6%. …"
